participant.id,osf.surprised,osf.upset,osf.angry,osf.jealous,osf.happy,osf.threatened,osf.relieved,osf.sad,ssf.surprised,ssf.upset,ssf.angry,ssf.jealous,ssf.happy,ssf.threatened,ssf.relieved,ssf.sad,rom.surprised,rom.upset,rom.angry,rom.jealous,rom.happy,rom.threatened,rom.relieved,rom.sad,age.participant,relationship.status.participant,gender,sexual.orientation.participant,age.friend,osf.closer.ssf,friendship.duration.wks,contact.frequency,sexual.orientation.friend,comparison.attractive,romantic.attraction.tofriend,sexual.attraction.tofriend,clearly.dating.their.osf
147,3,1,1,1,5,1,1,1,3,1,1,1,5,1,1,1,2,1,1,1,4,1,1,1,18,1,1,2,19,2,52,1,1,4,1,1,2
148,2,1,1,1,4,1,1,1,4,1,1,1,4,1,3,1,1,1,1,1,4,1,3,1,19,3,1,2,21,1,130,1,2,7,7,7,2
149,3,1,1,2,3,2,1,1,1,1,1,1,2,1,1,1,2,3,2,3,1,2,1,2,18,1,1,2,18,2,2,1,2,5,4,3,2
150,1,1,1,3,3,2,3,1,3,1,1,3,3,3,1,2,1,2,1,1,4,1,4,1,20,3,2,3,20,2,10,2,2,4,1,1,2
151,1,1,1,1,3,1,1,1,2,1,1,1,4,1,2,1,4,1,1,1,4,1,1,1,21,1,1,2,20,2,7,2,2,1,1,1,2
152,4,1,1,2,4,1,2,2,1,1,1,2,5,1,1,1,5,1,1,1,5,1,2,2,21,3,1,2,20,1,32,1,1,6,1,2,2
153,2,2,2,2,3,3,1,4,1,1,1,1,4,2,3,1,4,3,3,2,4,4,1,4,18,1,2,1,18,2,2,1,2,6,3,2,2
154,2,2,1,2,5,1,3,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,1,20,1,2,2,20,2,107,1,2,4,1,1,2
155,2,4,4,2,2,3,1,2,3,1,1,1,2,1,1,1,3,4,4,3,2,3,1,2,18,1,1,2,17,2,40,1,2,5,3,3,2
156,2,1,1,1,3,1,1,1,1,1,1,2,NA,2,1,2,3,2,1,1,3,1,1,2,20,1,2,1,21,2,32,1,2,6,2,1,2
157,1,3,2,4,3,2,2,3,1,1,1,2,4,1,3,1,4,4,4,5,2,2,2,4,21,1,1,2,21,1,208,1,2,6,6,6,2
158,1,2,2,2,2,2,1,3,1,2,2,2,3,1,1,2,2,2,1,2,3,1,1,2,20,1,2,4,21,2,52,3,2,4,1,1,2
159,1,1,1,3,2,3,1,2,2,1,1,1,4,2,1,1,1,1,1,3,5,2,1,2,20,1,2,4,19,2,55,2,2,4,1,1,2
160,2,2,1,2,2,2,1,1,1,1,1,1,4,1,2,1,3,1,1,3,4,3,1,3,19,3,2,2,19,2,312,1,2,4,1,1,2
161,4,4,4,1,1,3,1,3,5,1,1,1,4,1,3,1,5,5,5,1,1,4,1,3,18,3,2,2,18,2,3,3,2,2,1,1,2
162,1,1,1,1,4,1,2,1,4,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,18,1,2,2,18,2,3,1,2,3,1,1,2
163,5,1,1,2,3,3,1,1,1,1,1,1,1,1,1,1,5,2,1,2,3,2,1,1,18,3,2,2,18,2,4,2,2,3,1,1,2
164,1,2,1,3,4,1,3,1,1,1,1,1,5,1,4,1,1,1,1,1,5,1,3,1,18,3,2,2,19,2,104,3,3,6,1,1,2
